metric,metric_label,region,window,states,climate,n_winters,n_stations,r,r2,signed_r2,bh_r_mean,bh_r_sd,bh_r2_mean,bh_r2_sd,sig_2sigma,sig_2sigma_cal,p_perm,mean_nino,mean_nina,n_nino,n_nina,r2_phase,r2_index,r2_strength_gain,r2_within_nino,r2_within_nina,slope_within_nino,fdr_significant,n_tests
storm_days,Storm days per 30 (>= 2 in of new snow),Snowy Range & Sierra Madre,Holidays,WY,continental,48,15,-0.4174320331005939,0.17424950225849534,-0.17424950225849534,-0.41902758812012453,0.05026739657290871,0.1781109307639868,0.0421268518940475,True,True,0.002999400119976005,-0.47433170927739765,0.38514397761715363,16,16,0.1712549700378394,0.17424950225849534,0.002994532220655932,0.12246404844895599,0.010016428099846954,-0.33188588899159316,True,944
days_with_base,Days per 30 with a skiable base,White Mtns AZ (Sunrise Park),Spring,AZ,continental,46,6,0.4262983409446369,0.1817302754921499,0.1817302754921499,0.42612197775761934,0.05697605224303586,0.1848262104572662,0.04855749613324777,True,True,0.003199360127974405,0.46793459412003696,-0.27064995963229066,15,16,0.14694891905486995,0.1817302754921499,0.03478135643727995,0.08026359595238444,0.0021688905688589267,0.45439459883391814,True,944
new_snow_in_total,Total new snow in the window (in),Bitterroots (Lost Trail),Midwinter,MT+ID,transitional,59,12,-0.3823921188292272,0.14622373254270582,-0.14622373254270582,-0.3814737641735524,0.04331665581095241,0.1473985654233836,0.033048335487228395,True,True,0.0033993201359728054,-0.38624470337860023,0.4061732030991738,20,22,0.13080994292947223,0.14622373254270582,0.015413789613233586,0.03441330685565514,0.02744532387877044,-0.2325770449147192,True,944
mean_depth,Base (mean snow depth),S Sangre de Cristo (Santa Fe),Early season,NM,continental,25,6,0.5658958288163916,0.32023808907179074,0.32023808907179074,0.5640518575267498,0.0692815191544585,0.32295442687572645,0.07815673914269483,True,True,0.0033993201359728054,0.611133679273772,-0.6308357903387952,9,9,0.36281559775097494,0.32023808907179074,-0.042577508679184195,0.04216287475515186,0.011986358898094433,0.27601456476355013,True,944
mean_swe,Base (mean SWE in window),Missoula ranges (Montana Snowbowl),Midwinter,MT,transitional,46,7,-0.4170304629157231,0.1739144069997023,-0.1739144069997023,-0.42002243981913123,0.05037506068525099,0.17895649669065844,0.04231731179011183,True,True,0.003599280143971206,-0.5170316128922271,0.306816808219037,15,16,0.15120275204050382,0.1739144069997023,0.02271165495919847,0.04856963841723372,0.09558107017783457,-0.19594262528331596,True,944
mean_swe,Base (mean SWE in window),Beartooth & Absaroka (Red Lodge),Spring,MT+WY,continental,53,11,-0.39475767434971293,0.155833621457994,-0.155833621457994,-0.3950865137328724,0.04488523448973538,0.1581080376087937,0.03546710162526407,True,True,0.003599280143971206,-0.38196530798873085,0.3403065663636692,18,19,0.12770289502616594,0.155833621457994,0.028130726431828068,0.019925050409097006,0.043228144888695384,-0.14150633520605724,True,944
days_with_base,Days per 30 with a skiable base,Madison & Gallatin (Big Sky),Midwinter,MT,continental,60,8,-0.35913994450478387,0.12898149973889925,-0.12898149973889925,-0.35995612492175194,0.049698545375271866,0.13203835728110186,0.03577859161506143,True,True,0.003799240151969606,-0.35387386407890026,0.3650012866524422,20,22,0.18216451322838267,0.12898149973889925,-0.05318301348948343,0.03161173717930818,4.049812737092033e-05,0.22738565665959107,True,944
storm_days,Storm days per 30 (>= 2 in of new snow),S Sangre de Cristo (Santa Fe),Early season,NM,continental,46,6,0.43055772372224616,0.18537995345688205,0.18537995345688205,0.4276644085860931,0.06575917867012308,0.187221115950662,0.05624572051013083,True,True,0.003999200159968006,0.471239477806168,-0.2707352558401353,15,16,0.14784686151307935,0.18537995345688205,0.03753309194380269,0.2582417706563672,0.0009523408558803744,0.6243920336955877,True,944
storm_days,Storm days per 30 (>= 2 in of new snow),Mt Hood,Spring,OR,maritime,48,10,-0.39274483760260576,0.15424850746349716,-0.15424850746349716,-0.39061919174686266,0.05812326645270325,0.1559616670641042,0.04540812672688496,True,True,0.004399120175964807,-0.33577276792135735,0.48754070446452247,16,16,0.17005979312318542,0.15424850746349716,-0.015811285659688257,0.005817776463786847,0.058121454975656635,-0.081687783449285,True,944
mean_depth,Base (mean snow depth),Mt Hood,Spring,OR,maritime,29,10,-0.49726201994577235,0.2472695164805497,-0.2472695164805497,-0.49777676468815496,0.05786686704930659,0.25113028176550894,0.05760956372488687,True,True,0.004599080183963208,-0.6743248169209909,0.6136920648024179,10,12,0.3448950541069815,0.2472695164805497,-0.09762553762643181,0.13608133982889475,0.1922115985562288,0.4303834962729388,True,944
mean_depth,Base (mean snow depth),Whitefish & Flathead Range,Midwinter,MT,transitional,25,10,-0.5505869872261202,0.30314603050273586,-0.30314603050273586,-0.5526421132865639,0.055014823352029237,0.3084399361662943,0.06080701647870488,True,True,0.004799040191961607,-0.5458516063962993,0.5062682581382058,9,9,0.3123465689014796,0.30314603050273586,-0.00920053839874374,0.0011524477032708587,0.29865494142956267,-0.04165951649620491,True,944
storm_days,Storm days per 30 (>= 2 in of new snow),Bitterroots (Lost Trail),Midwinter,MT+ID,transitional,59,12,-0.36200183964175137,0.13104533190401227,-0.13104533190401227,-0.36104071408475386,0.0468531223886113,0.13254561230439116,0.033831769528569186,True,True,0.004999000199960008,-0.334144739496415,0.30749393740336556,20,22,0.10521502222460644,0.13104533190401227,0.025830309679405833,0.03631698726815363,0.08485313242783124,-0.21290221507554372,False,944
mean_swe,Base (mean SWE in window),Madison & Gallatin (Big Sky),Midwinter,MT,continental,60,9,-0.36097265004604495,0.13030125408126444,-0.13030125408126444,-0.36165337280790366,0.04507282144135318,0.13282472129601666,0.032601475792467555,True,True,0.005398920215956809,-0.38518083792711183,0.3838763630890945,20,22,0.1466581749423851,0.13030125408126444,-0.016356920861120644,0.004237331004177918,0.0004314362823092992,0.07435925511066008,False,944
storm_days,Storm days per 30 (>= 2 in of new snow),Chugach (Alyeska),Holidays,AK,maritime,43,7,0.41550731687675674,0.17264633037812155,0.17264633037812155,0.4137114844568577,0.06281139144312561,0.17510246326651835,0.05197158798947253,True,True,0.005598880223955209,0.5078800677196914,-0.24497488995045377,15,15,0.20140993848767763,0.17264633037812155,-0.028763608109556082,0.003671302731310169,0.004281601126136752,0.07327215771541004,False,944
days_with_base,Days per 30 with a skiable base,Coeur d'Alenes (Silver/Lookout),Midwinter,ID+MT,transitional,43,6,-0.41155970707857303,0.16938139249060083,-0.16938139249060083,-0.4134784866661137,0.06144309083283508,0.1747397123467916,0.05081079242729842,True,True,0.0057988402319536095,-0.45526095056738985,0.38525758423287765,15,15,0.21887530876865624,0.16938139249060083,-0.04949391627805541,0.01202328329911265,0.0560341452020103,0.14435916824276343,False,944
