region,window,metric,metric_label,unit,n_winters,all_winters,n_nino,mean_nino,n_nina,mean_nina,n_neutral,mean_neutral,nino_minus_all,nina_minus_all,nino_minus_nina,pct_change_nino,pct_change_nina
Black Hills (Terry Peak),Midwinter,mean_swe_in,Average base (snow water equivalent),in,26,4.13467860843426,9,3.8909702453597483,10,4.631841699138755,7,3.737784945666498,-0.24370836307451205,0.49716309070449505,-0.7408714537790071,-5.894251673573263,12.024225769092197
Black Hills (Terry Peak),Midwinter,mean_depth_in,Average base (snow depth),in,23,18.748900297655066,8,17.089095054587805,9,20.767631015172412,6,17.933877878802047,-1.659805243067261,2.0187307175173466,-3.6785359605846075,-8.852813854233647,10.76719533129007
Black Hills (Terry Peak),Spring,big_storm_days_per_window,Powder days (>= 6 in of new snow),days,26,0.4282701942267745,9,0.5250476332713309,10,0.4370494073561158,7,0.2913003252704284,0.09677743904455638,0.008779213129341323,0.08799822591521506,22.59728562695902,2.049923914315788
Black Hills (Terry Peak),Spring,storm_days_per_window,Storm days (>= 2 in of new snow),days,26,3.921713983137143,9,3.4184486714729885,10,4.529444829131196,7,3.700582460999552,-0.5032653116641543,0.6077308459940536,-1.110996157658208,-12.832789791099742,15.496562181923943
Black Hills (Terry Peak),Spring,new_snow_in_total,Total new snow in the window,in,26,24.03605994429175,9,23.788390606402057,10,26.08494155024231,7,21.427518227363418,-0.24766933788969325,2.048881605950559,-2.296550943840252,-1.0304073898289285,8.524199102095938
Black Hills (Terry Peak),Spring,days_with_base_per_window,Days with a skiable base,days,26,0.4439408703389804,9,0.0,10,1.154246262881349,7,0.0,-0.4439408703389804,0.7103053925423686,-1.154246262881349,-100.0,160.0
Black Hills (Terry Peak),Spring,mean_swe_in,Average base (snow water equivalent),in,26,5.105404744801927,9,4.615243502778501,10,6.230040625282243,7,4.128989369574452,-0.4901612420234258,1.1246358804803158,-1.6147971225037416,-9.600830228445336,22.02833931286966
Black Hills (Terry Peak),Spring,mean_depth_in,Average base (snow depth),in,23,17.718974521537245,8,15.172365245017915,9,21.85656369064731,6,14.908069803231252,-2.5466092765193302,4.137589169110065,-6.684198445629395,-14.37221591703262,23.351177372487697
Blues & Wallowas (Anthony Lakes),Early season,big_storm_days_per_window,Powder days (>= 6 in of new snow),days,48,0.6532507154751611,16,0.5118234081787613,16,0.7533932726499688,16,0.6945354655967533,-0.14142730729639985,0.10014255717480769,-0.24156986447120754,-21.649774572926194,15.32988097869377
Blues & Wallowas (Anthony Lakes),Early season,storm_days_per_window,Storm days (>= 2 in of new snow),days,48,5.7849277614701435,16,5.092862043818179,16,6.50660557563973,16,5.755315664952519,-0.6920657176519649,0.7216778141695865,-1.4137435318215514,-11.963256002285632,12.475139602887351
Blues & Wallowas (Anthony Lakes),Early season,new_snow_in_total,Total new snow in the window,in,48,33.33606707774053,16,30.13366225133722,16,37.01877368823337,16,32.855765293651,-3.20240482640331,3.6827066104928363,-6.885111436896146,-9.606426633757433,11.047213823708338
Blues & Wallowas (Anthony Lakes),Early season,days_with_base_per_window,Days with a skiable base,days,48,0.41441264037468434,16,0.27923310554290054,16,0.5014329531231851,16,0.4625718624579672,-0.1351795348317838,0.0870203127485008,-0.2221998475802846,-32.61954913092502,20.99846970638319
Blues & Wallowas (Anthony Lakes),Early season,mean_swe_in,Average base (snow water equivalent),in,48,2.093669857658528,16,1.9441756722012358,16,2.2819840687204573,16,2.054849832053891,-0.1494941854572922,0.18831421106192936,-0.33780839651922157,-7.140294106563687,8.994455853347004
Blues & Wallowas (Anthony Lakes),Early season,mean_depth_in,Average base (snow depth),in,28,8.082257940592935,9,6.349041447843038,12,9.14070128653136,7,8.496204838234076,-1.7332164927498974,1.058443345938425,-2.7916598386883225,-21.444706485360502,13.095886740045998
Blues & Wallowas (Anthony Lakes),Holidays,big_storm_days_per_window,Powder days (>= 6 in of new snow),days,48,0.45687849981858375,16,0.36495273765540726,16,0.5449273274245483,16,0.4607554343757956,-0.0919257621631765,0.08804882760596455,-0.17997458976914105,-20.120395728772127,19.271825581839984
Blues & Wallowas (Anthony Lakes),Holidays,storm_days_per_window,Storm days (>= 2 in of new snow),days,48,3.686099165429955,16,3.1637781562765066,16,4.193653832804689,16,3.700865507208671,-0.5223210091534485,0.5075546673747335,-1.029875676528182,-14.170020547792932,13.769425199810955
