region,window,metric,phase,strength,n_winters,mean,all_winters,diff,pct_change
Wasatch (Alta/Snowbird/Park City),Spring,big_storm_days_per_window,El Nino,very strong,3,1.91111325644131,1.702156237564625,0.20895701887668494,12.276018749938727
Wasatch (Alta/Snowbird/Park City),Spring,big_storm_days_per_window,El Nino,weak,6,1.4133232305363588,1.702156237564625,-0.2888330070282663,-16.968654266515315
Wasatch (Alta/Snowbird/Park City),Spring,big_storm_days_per_window,La Nina,moderate,4,1.3436927546998527,1.702156237564625,-0.35846348286477236,-21.059376040453675
Wasatch (Alta/Snowbird/Park City),Spring,big_storm_days_per_window,La Nina,strong,5,1.831613726154424,1.702156237564625,0.129457488589799,7.605499761586013
Wasatch (Alta/Snowbird/Park City),Spring,big_storm_days_per_window,La Nina,weak,7,2.7340111053331593,1.702156237564625,1.0318548677685342,60.620455690064595
Wasatch (Alta/Snowbird/Park City),Spring,big_storm_days_per_window,Neutral,neutral,16,1.4508703644989813,1.702156237564625,-0.25128587306564376,-14.762797181601451
White Mtns AZ (Sunrise Park),Early season,big_storm_days_per_window,El Nino,moderate,4,0.6097925259342584,0.4657099866746955,0.14408253925956288,30.938254145751532
White Mtns AZ (Sunrise Park),Early season,big_storm_days_per_window,El Nino,strong,3,0.7785673636899938,0.4657099866746955,0.3128573770152983,67.1785845197761
White Mtns AZ (Sunrise Park),Early season,big_storm_days_per_window,El Nino,very strong,3,1.02759732718592,0.4657099866746955,0.5618873405112246,120.65176968251494
White Mtns AZ (Sunrise Park),Early season,big_storm_days_per_window,El Nino,weak,5,0.4677494876181488,0.4657099866746955,0.0020395009434532874,0.4379336930298438
White Mtns AZ (Sunrise Park),Early season,big_storm_days_per_window,La Nina,moderate,4,0.5915320724637518,0.4657099866746955,0.12582208578905635,27.01726168413578
White Mtns AZ (Sunrise Park),Early season,big_storm_days_per_window,La Nina,strong,5,0.5223210866578064,0.4657099866746955,0.056611099983110924,12.15586987672964
White Mtns AZ (Sunrise Park),Early season,big_storm_days_per_window,La Nina,weak,7,0.25205326271985806,0.4657099866746955,-0.21365672395483742,-45.877634164645784
White Mtns AZ (Sunrise Park),Early season,big_storm_days_per_window,Neutral,neutral,15,0.2989427473598285,0.4657099866746955,-0.16676723931486698,-35.809246974846616
White Mtns AZ (Sunrise Park),Holidays,big_storm_days_per_window,El Nino,moderate,4,0.4152804659859217,0.4286596732169223,-0.013379207231000556,-3.1211723581541664
